id,timestamp,mileage,stationId,startChargePercentage,endChargePercentage,kwhAmount,inputMode,amountPaid,e10Price,statut
244,1742556480000,6285,88,42.0,86.0,28.00,BY_AMOUNT,8.85,1.616,COMPLETE
245,1742567340000,6451,82,26.0,80.0,34.89,BY_AMOUNT,13.95,1.616,COMPLETE
246,1742637600000,6622,85,19.0,41.0,16.00,BY_AMOUNT,8.80,1.616,COMPLETE
247,1742907600000,6740,84,14.0,100.0,54.27,BY_PRICE,10.94,1.645,COMPLETE
248,1743055200000,6904,86,50.0,100.0,31.55,BY_PRICE,6.36,1.645,COMPLETE
249,1743272220000,7078,84,55.0,89.0,21.92,BY_PRICE,4.42,1.656,COMPLETE
250,1743332340000,7090,84,88.0,100.0,9.33,BY_PRICE,1.88,1.656,COMPLETE
251,1743418500000,7340,87,28.0,49.0,14.07,BY_AMOUNT,7.94,1.656,COMPLETE
252,1743433200000,7348,89,49.0,86.0,23.98,BY_AMOUNT,10.07,1.656,COMPLETE
253,1743438720000,7474,90,26.0,61.0,21.58,BY_AMOUNT,14.59,1.656,COMPLETE
254,1743498000000,7593,84,24.0,100.0,46.78,BY_PRICE,9.43,1.665,COMPLETE
255,1743679980000,7761,82,51.0,97.0,30.41,BY_AMOUNT,12.77,1.656,COMPLETE
256,1743699600000,7948,83,27.0,84.0,34.39,BY_PRICE,6.93,1.665,COMPLETE
257,1743847200000,7982,83,76.0,100.0,18.99,BY_PRICE,3.83,1.640,COMPLETE
258,1743857400000,8173,82,45.0,90.0,29.03,BY_AMOUNT,12.19,1.640,COMPLETE
259,1744706400000,8339,84,41.0,86.0,29.34,BY_PRICE,5.91,1.614,COMPLETE
260,1745409420000,8436,84,61.0,100.0,26.70,BY_PRICE,5.39,1.614,COMPLETE
261,1746018300000,8533,84,76.0,85.0,5.80,BY_PRICE,1.17,1.636,COMPLETE
262,1746194820000,8617,84,60.0,71.0,6.93,BY_PRICE,1.40,1.636,COMPLETE
263,1746534120000,8650,84,62.0,96.0,24.28,BY_PRICE,4.89,1.586,COMPLETE
264,1746611220000,8811,82,55.0,71.0,10.13,BY_AMOUNT,4.25,1.586,COMPLETE
265,1746807660000,8997,83,9.0,100.0,63.97,BY_PRICE,12.90,1.586,COMPLETE
266,1746985560000,9185,82,44.0,82.0,24.17,BY_AMOUNT,11.60,1.586,COMPLETE
267,1747044060000,9350,84,25.0,86.0,35.31,BY_PRICE,7.12,1.586,COMPLETE
268,1747757340000,9445,84,64.0,100.0,22.62,BY_PRICE,4.56,1.607,COMPLETE
269,1747831980000,9679,91,39.0,93.0,34.77,BY_AMOUNT,12.25,1.607,COMPLETE
270,1747917600000,9885,92,33.0,82.0,31.66,BY_AMOUNT,9.60,1.689,COMPLETE
271,1747937100000,10059,93,31.0,70.0,25.32,BY_AMOUNT,9.10,1.632,COMPLETE
